id,text,timestamp,user,platform,likes,comments_count,video_views,is_video,image_url,post_url,account_followers,account_verified,year,month,day,hour,day_of_week,is_weekend,hashtags,mentions
DP7OucyiWKZ,"Humano Seguros lanzó oficialmente el Premio Humano Seguros de Seguridad Vial 🚗🙌

Este reconocimiento busca impulsar acciones por una movilidad más segura y contribuir a salvar vidas, así que si eres parte de una iniciativa que promueve la seguridad vial, esta es tu oportunidad de postular y ser parte del cambio 🤩

Súmate y transformemos juntos la cultura vial del país 🙏🏽

🔹Postulaciones abiertas hasta el 31 de mayo de 2026
🔗Obtén mas información en premios.humanoseguros.com

#PremioHumanoSeguros #SeguridadVialRD #MovilidadSegura",2025-10-17 21:41:06,accidentes_rd,instagram,113,7,2578,True,https://scontent.cdninstagram.com/v/t51.71878-15/566187233_1142899031256800_205747732003562065_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzc0NTY1MjI3OTc0ODQyMDI0OQ%3D%3D.3-ccb1-7&ccb=1-7&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=ZYQQ3k5PCUcQ7kNvwGkxRXY&_nc_oc=AdkmkDgeExvCqeGp5m2EMBZA6pJ7oTOdLQTgyqDv97Rk8TUyvLNAxIihtUsW_L1DYymvNpwpMEz3zwfZoLtkD3G_&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=unUtpbCKh8eFVIN_VL-Lqw&oh=00_Afg5q_PVCiaY8BeigiSBb8XTD6m_nYSIYWABoj0mrz3ZbA&oe=69133A9A,https://instagram.com/p/DP7OucyiWKZ,717513,True,2025,10,17,21,Friday,False,"premiohumanoseguros, seguridadvialrd, movilidadsegura",
DQuLqMDkVTB,"Vehículo incendiado en la avenida Olímpica, La Barranquita.",2025-11-06 16:24:25,accidentes_rd,instagram,91,3,4481,True,https://scontent.cdninstagram.com/v/t51.71878-15/576081610_1481683889731000_8108735458581451430_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzc1OTk5NDAxNjU3NTM0NTg1Nw%3D%3D.3-ccb1-7&ccb=1-7&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM4LnNkci5DMyJ9&_nc_ohc=AZqYyxTW2z4Q7kNvwHiteKr&_nc_oc=AdlRcPI5DqXusmQDmyiM43U3g4kunlOhcTkg1uKUBX3LJ4wmTDvPdzJNEY2YkMexmkcDTkuHTpSsCUx8Lq9ENnQc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=unUtpbCKh8eFVIN_VL-Lqw&oh=00_AfisyBUeXkE6X3vv3X9BveA1r41MmJfmY454UsOD4Y7Bbg&oe=69135011,https://instagram.com/p/DQuLqMDkVTB,717513,True,2025,11,6,16,Thursday,False,,
DQsVBEODasY,"El Gabinete de Transporte, anuncia mejoras el tránsito de hasta un 30% en la velocidades de desplazamientos, luego de la primera etapa del proyecto “RD se Mueve@ , el mismo que restringe el giro a la izquierda y otras medidas para mejorar el tránsito. 

¿Has sentido esta mejoría en el tránsito?",2025-11-05 23:10:14,accidentes_rd,instagram,300,175,10887,True,https://scontent.cdninstagram.com/v/t51.71878-15/573154473_1162285959209574_8137193402677877497_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzc1OTQ3MjIyMTE3NDQ3NTU0NA%3D%3D.3-ccb1-7&ccb=1-7&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=H4leFaLHhoUQ7kNvwGOb6iq&_nc_oc=AdlK2E3Z7K2LejNO1ogLutOo4D8phLGDEkL7BkraOEUitYwlJEime5WD6PjcY6pE5oQZoNgZV4ydTXb7NjL_j0mE&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=unUtpbCKh8eFVIN_VL-Lqw&oh=00_AfgkP-gyiyZNGSI2iOT11jckK-mijTHJX7JAAESCHhCjxg&oe=69136BC6,https://instagram.com/p/DQsVBEODasY,717513,True,2025,11,5,23,Wednesday,False,,
DQsOa4biUGp,"Accidente registrado en el puente Juan Carlos, rampa en dirección hacia la avenida España.",2025-11-05 22:10:14,accidentes_rd,instagram,139,3,5928,True,https://scontent.cdninstagram.com/v/t51.71878-15/572580385_796534313359439_8050891860249362790_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzc1OTQ0MzIwODg5NjU5NDM0NQ%3D%3D.3-ccb1-7&ccb=1-7&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM4LnNkci5DMyJ9&_nc_ohc=rWw6v8PeLmkQ7kNvwEZXFlp&_nc_oc=AdkG40BxBfw3_MxXRUtqjGZ3Wzqj4OVOMD2hUBRgKXXtegBZXv8s20dfMoKh8874GhKp-Rz-03F1jUyhDcvwFrCu&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=unUtpbCKh8eFVIN_VL-Lqw&oh=00_AfjJ3m8yAFOWeqq5DPDXDKZdOma72t_s1RCk6qhWhZjDwA&oe=69136601,https://instagram.com/p/DQsOa4biUGp,717513,True,2025,11,5,22,Wednesday,False,,
DQsOErsidq8,"Accidente registrado en la autopista, Juan Pablo Duarte kilómetro 13.",2025-11-05 22:06:51,accidentes_rd,instagram,425,29,21018,True,https://scontent.cdninstagram.com/v/t51.71878-15/575224922_2530052514047716_5463714121840096140_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzc1OTQ0MTY4MzM5NDcxNDMwMA%3D%3D.3-ccb1-7&ccb=1-7&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM4LnNkci5DMyJ9&_nc_ohc=bBzuZgwR5U0Q7kNvwGV3iyY&_nc_oc=AdncK325jNdIWQi6XjZ0_ciIwrIzQlEZgweprqxam4zRZP2x0cFvleEL-dkIVOQ25AqOfrklEchmMUSL40EJyf6Q&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=unUtpbCKh8eFVIN_VL-Lqw&oh=00_Afgu6MWmeXR6jy_UOGmxNTLEtAJoiz-4gF3a1t1EKXtg_Q&oe=69135099,https://instagram.com/p/DQsOErsidq8,717513,True,2025,11,5,22,Wednesday,False,,
DQsN1r9iVU6,Accidente registrado en la circunvalación Santo Domingo.,2025-11-05 22:05:17,accidentes_rd,instagram,79,1,3811,True,https://scontent.cdninstagram.com/v/t51.71878-15/574261223_2015024472685474_4791639587842522907_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=Mzc1OTQ0MDY1Mjg4Nzc0MTc1NA%3D%3D.3-ccb1-7&ccb=1-7&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM4LnNkci5DMyJ9&_nc_ohc=jf3gsDePdlMQ7kNvwHJrQE2&_nc_oc=Adn1MUC7R8kUl12Kgb7npof9nsCnODDDII4_lkEUHqObLBjhOqg5EdJ-8AK9ZAesTUCX296EyZcoxV-jpyblIwCi&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=vMUFb5kxrclhYTmR-vVuTA&oh=00_AfihglAw5D_JbJoYrhXAI9njhe-WeUbrqhKEGOQhs6OkaA&oe=69136F08,https://instagram.com/p/DQsN1r9iVU6,717513,True,2025,11,5,22,Wednesday,False,,
DQpj6oWidJT,Accidente registrado en el Paso a Desnivel de la avenida Isabel Aguiar.,2025-11-04 21:21:34,accidentes_rd,instagram,1598,239,62148,True,https://scontent.cdninstagram.com/v/t51.71878-15/573046794_1145768534403189_8114748010710448645_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzc1ODY5MzMyNDcwMjczMjg4Mw%3D%3D.3-ccb1-7&ccb=1-7&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM4LnNkci5DMyJ9&_nc_ohc=BULUBF39bz4Q7kNvwElt4Fx&_nc_oc=AdnChHKnK7VvSTiobPE8Gzjyl-gQiHht5ZDpl0Ll-sYtOJU2k46PLqTmQQ5yn_Gb-J7z606WucE_XgbGjIhqUNkP&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=vMUFb5kxrclhYTmR-vVuTA&oh=00_AfjtoyzegcVlII6mYpyXwmPhLDnN_HwrPmfn8Nh4dQ56Xg&oe=69136CBF,https://instagram.com/p/DQpj6oWidJT,717513,True,2025,11,4,21,Tuesday,False,,
DQpjiv9iQGD,"Accidente registrado en la Av. Máximo Gomez, próximo APEC DISTRACCIÓN???",2025-11-04 21:16:57,accidentes_rd,instagram,1755,366,52347,True,https://scontent.cdninstagram.com/v/t51.71878-15/573048302_1523051612356164_1404220588230750114_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzc1ODY5MTY4MzYwNTc0MTk1NQ%3D%3D.3-ccb1-7&ccb=1-7&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=x-cB-oz4Sl4Q7kNvwEesPrO&_nc_oc=Adny1LMUQhOhZbMDxG_7a9fwZ_JRo_fDumoGqrlgVEhLVM3VJnQ4qAycfbpv41JeJD8BdILJZLmqdJ5wz4N7qEkr&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=vMUFb5kxrclhYTmR-vVuTA&oh=00_AfhgvzDolhVywy0SRBAvQZ11ZbOcM_XKqOM6fty3g_0-qA&oe=69135307,https://instagram.com/p/DQpjiv9iQGD,717513,True,2025,11,4,21,Tuesday,False,,
DQokAz5EcOo,Accidente registrado en la avenida Ecológica.,2025-11-04 12:01:31,accidentes_rd,instagram,91,5,3372,True,https://scontent.cdninstagram.com/v/t51.71878-15/572612338_2017400659108732_2986206313889135622_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzc1ODQxMjI3NDQzMzM3NzE5Mg%3D%3D.3-ccb1-7&ccb=1-7&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM4LnNkci5DMyJ9&_nc_ohc=O28A4f7_hPIQ7kNvwH0YucM&_nc_oc=AdkeuuRYJuLP0fkbNwlhedj35AlOuuUxD8ahEDQSogzzpEQdRkyy_Jx_DEBiXPvHulk4Y7tKuuQS_zy5pBqbFZUT&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=vMUFb5kxrclhYTmR-vVuTA&oh=00_Afhw9kuZG6ueSNMf15h7XkvxOnyzsa-v9FM5n0ecnC46GA&oe=6913656C,https://instagram.com/p/DQokAz5EcOo,717513,True,2025,11,4,12,Tuesday,False,,
DQodq78kTAf,"Accidente registrado en la avenida Ecológica, Santo Domingo, Este.",2025-11-04 11:06:21,accidentes_rd,instagram,219,26,9764,True,https://scontent.cdninstagram.com/v/t51.71878-15/573565340_715348901041535_2502489501353764622_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzc1ODM4NDM4Mjk3NDQzOTQ1NQ%3D%3D.3-ccb1-7&ccb=1-7&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM4LnNkci5DMyJ9&_nc_ohc=Pat4nvITe0EQ7kNvwGWVu3M&_nc_oc=AdnFwgx1_HHBwcnw4NaHcaBJmGY8MTOYhM7axW2P3pu7E2Nk6ufdOU-Gc6A-TJ9am7Hbw-O7adY8pTY7Mh0PgF7g&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=vMUFb5kxrclhYTmR-vVuTA&oh=00_AfjxeETNcjjJIyq8BmDk7b8L43XN04lgMHtH7yY_GUYJXQ&oe=691349CF,https://instagram.com/p/DQodq78kTAf,717513,True,2025,11,4,11,Tuesday,False,,
